1, 0, 7, 5, 1, 0, 8, 2, 0, 3, 5, 1, 0, 3, -1, -1, 100
0, 0, 3, 5, 1, 0, 4, 2, 1, 3, 5, 1, 0, 3, -1, -1, 100
1, 3, 7, 8, 0, 0, 4, 5, 1, 0, 5, 2, 0, 4, 5, 2, 4, 4, 5, 2, 4, 4, 5, 2, 4, 4, 5, 2, 4, 3, 5, 1, 0, 3, -1, -1, 100
0, 3, 3, 7, 0, 0, 0, 4, 4, 0, 0, 1, 4, 3, 0, 1, 1, 1, 1, 2, 4, 4, 1, 2, 4, 4, 1, 2, 4, 4, 1, 2, 4, 4, 1, 2, 2, 4, 4, 2, 0, 3, 4, 1, 1, 3, -1, -1, -100
1, 3, 7, 8, 4, 0, 7, 5, 1, 0, 8, 2, 0, 3, 5, 1, 0, 3, -1, -1, 100
0, 0, 3, 5, 1, 0, 4, 2, 1, 3, 5, 1, 0, 3, -1, -1, 100
1, 3, 6, 7, 1, 0, 7, 4, 1, 0, 8, 1, 0, 3, -1, -1, -100
0, 0, 3, 5, 1, 0, 4, 2, 1, 3, 5, 1, 0, 3, -1, -1, 100
1, 0, 7, 5, 0, 3, 4, 5, 4, 0, 4, 2, 1, 4, 5, 2, 4, 4, 5, 2, 4, 3, 5, 1, 0, 3, -1, -1, 100
0, 3, 3, 7, 0, 0, 0, 4, 1, 3, 1, 3, 1, 0, -1, -1, 100
