0, 3, 3, 7, 0, 3, 0, 6, 1, 0, 1, 3, 1, 0, -1, -1, 100
1, 0, 7, 5, 0, 0, 4, 2, 1, 3, 5, 1, 0, 3, -1, -1, 100
1, 3, 7, 8, 0, 0, 4, 5, 0, 3, 1, 4, 1, 3, -1, -1, -100
0, 3, 3, 7, 1, 3, 4, 6, 0, 0, 1, 3, 1, 0, -1, -1, 100
1, 3, 6, 7, 0, 3, 3, 6, 4, 0, 3, 6, 4, 0, 3, 6, 4, 0, 3, 6, 4, 1, 3, 7, 0, 0, 0, 4, 4, 3, 0, 3, 4, 4, 0, 3, 4, 4, 0, 3, 1, 4, 1, 3, 1, 0, -1, -1, 100
0, 0, 3, 5, 1, 0, 4, 2, 0, 3, 4, 1, 1, 3, -1, -1, -100
1, 3, 7, 8, 0, 4, 4, 8, 0, 0, 1, 5, 4, 0, 1, 2, 4, 3, 1, 2, 4, 4, 1, 2, 1, 3, 1, 2, 4, 2, 1, 5, 4, 3, 1, 4, 1, 3, -1, -1, -100
0, 0, 3, 5, 1, 0, 4, 2, 1, 3, 5, 1, 0, 3, -1, -1, 100
0, 3, 3, 7, 0, 3, 0, 6, 1, 0, 1, 3, 1, 0, -1, -1, 100
4, 3, 6, 7, 0, 0, 3, 4, 0, 4, 0, 4, 1, 3, 1, 3, 1, 0, -1, -1, 100
