100, -100, -100, 50, 100, -100, 100, 100, 100, -100
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-100, -100, 50, 50, 50, 50, 50, -100, 50, -100
1, 1, 1, 1, 1, 1, 1, 1, 1, 0
-100, -100, -100, 50, 100, 100, 100, 100, 100, 100
1, 1, 0, 1, 0, 0, 0, 0, 0, 0
-100, -100, -100, -100, -100, -100, -100, -100, -100, 50
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, 50, 50, 50, 50, 50, 50, 50, 50, 50
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-100, -100, -100, 100, -100, 50, -100, 100, 50, -100
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-100, -100, 50, -100, -100, -100, -100, -100, 100, 100
1, 1, 1, 1, 1, 1, 1, 1, 1, 1
